id_infra,type_infra
P000719,aerien
P007118,aerien
P007170,fourreau
P007648,aerien
P000306,aerien
P000233,aerien
P007254,aerien
P007144,aerien
P007201,aerien
P007278,aerien
P007564,aerien
P007409,aerien
P000369,fourreau
P007313,aerien
P000403,fourreau
P007406,aerien
P007388,fourreau
P007119,fourreau
P007253,aerien
P007362,aerien
P000118,semi-aerien
P007197,aerien
P000066,aerien
P000256,aerien
P007116,fourreau
P008023,semi-aerien
P007405,fourreau
P007402,fourreau
P000241,fourreau
P007154,semi-aerien
P000301,semi-aerien
P007699,semi-aerien
P007985,aerien
P007485,semi-aerien
P007381,semi-aerien
P007231,aerien
P007230,semi-aerien
P007997,fourreau
P007352,aerien
P007400,aerien
P000253,aerien
P007213,fourreau
P007215,fourreau
P000003,fourreau
P007374,fourreau
P000262,aerien
P007610,fourreau
P007998,aerien
P007279,fourreau
P000334,aerien
P008035,aerien
P007169,fourreau
P007408,aerien
P007217,aerien
P007366,semi-aerien
P007261,aerien
P007458,fourreau
P006193,fourreau
P007497,aerien
P005317,aerien
P008024,fourreau
P007325,fourreau
P000023,fourreau
P007252,aerien
P003330,aerien
P007134,aerien
P007190,fourreau
P007679,semi-aerien
P007662,aerien
P007785,aerien
P000136,aerien
P000267,aerien
P000470,aerien
P005117,aerien
P007379,aerien
P007274,fourreau
P007448,aerien
P005500,aerien
P007372,aerien
P000103,aerien
P007639,fourreau
P008013,fourreau
P006712,fourreau
P007237,aerien
P007344,aerien
P007141,fourreau
P000292,aerien
P000353,aerien
P007117,fourreau
P007219,aerien
P000355,fourreau
P000223,fourreau
P007212,aerien
P007272,fourreau
P004211,fourreau
P007993,aerien
P007309,aerien
P000748,aerien
P007988,semi-aerien
P007580,fourreau
P007302,aerien
P000376,aerien
P008001,aerien
P007999,aerien
P000203,aerien
P008031,aerien
P000236,fourreau
P007284,fourreau
P000367,fourreau
P007243,aerien
P007528,aerien
P000627,fourreau
P000260,fourreau
P007147,aerien
P007293,fourreau
P007289,aerien
P007593,semi-aerien
P008022,aerien
P000314,semi-aerien
P008027,fourreau
P007554,fourreau
P007415,aerien
P007345,aerien
P007176,semi-aerien
P000331,aerien
P000252,aerien
P008019,semi-aerien
P000290,aerien
P007277,aerien
P007692,semi-aerien
P007114,semi-aerien
P000730,fourreau
P006457,fourreau
P007195,fourreau
P007156,fourreau
P007139,aerien
P007338,aerien
P007737,fourreau
P007414,fourreau
P005531,aerien
P007184,fourreau
P007607,aerien
P007627,semi-aerien
P007713,aerien
P007208,aerien
P000393,fourreau
P007305,aerien
P000600,aerien
P007334,aerien
P000151,aerien
P007301,aerien
P007637,aerien
P007242,semi-aerien
P007351,aerien
P000372,fourreau
P007413,aerien
P007401,aerien
P007371,fourreau
P005000,semi-aerien
P007155,aerien
P007318,fourreau
P007982,fourreau
P000221,aerien
P000168,aerien
P000291,fourreau
P007319,fourreau
P000073,aerien
P002851,semi-aerien
P007370,aerien
P008010,fourreau
P000029,aerien
P007562,fourreau
P007179,semi-aerien
P007111,fourreau
P007294,fourreau
P007463,fourreau
P007115,semi-aerien
P004257,semi-aerien
P007347,aerien
P007382,aerien
P007185,aerien
P007292,aerien
P000294,fourreau
P007752,aerien
P007308,aerien
P007236,semi-aerien
P000750,fourreau
P000226,fourreau
P007373,aerien
P007395,aerien
P007232,aerien
P003849,fourreau
P007300,fourreau
P007315,semi-aerien
P007136,aerien
P003202,semi-aerien
P004209,fourreau
P000326,semi-aerien
P007268,fourreau
P007149,aerien
P007398,aerien
P007377,aerien
P006950,fourreau
P007266,semi-aerien
P007332,aerien
P000160,semi-aerien
P007297,aerien
P000235,semi-aerien
P007259,aerien
P000371,aerien
P007285,semi-aerien
P000308,fourreau
P007316,fourreau
P007777,fourreau
P007389,aerien
P004269,aerien
P007175,fourreau
P000231,fourreau
P007677,fourreau
P005664,aerien
P007174,aerien
P007299,fourreau
P000211,fourreau
P000078,aerien
P007328,aerien
P001391,fourreau
P003569,aerien
P007552,fourreau
P000402,aerien
P000149,aerien
P007227,semi-aerien
P007127,aerien
P007994,aerien
P007349,fourreau
P007336,aerien
P007353,aerien
P007209,aerien
P007696,aerien
P007239,fourreau
P007173,aerien
P000494,aerien
P000344,aerien
P007365,aerien
P000717,aerien
P000286,fourreau
P000020,aerien
P000084,aerien
P000270,aerien
P007358,aerien
P005915,semi-aerien
P007276,fourreau
P008006,aerien
P007211,semi-aerien
P008015,fourreau
P007595,semi-aerien
P000633,aerien
P007291,aerien
P000187,fourreau
P008000,fourreau
P007698,aerien
P007645,aerien
P007275,aerien
P007192,aerien
P007534,fourreau
P007135,aerien
P007225,aerien
P007616,aerien
P000273,aerien
P007202,aerien
P005781,aerien
